Date,Unnamed: 1,Rachel / Papineau,Berri1,Maisonneuve_2,Maisonneuve_1,Br̩beuf,Parc,PierDup,CSC (C̫te Sainte-Catherine),Pont_Jacques_Cartier
01/01/2011,00:00,85,81,110,62,0,41,0,5.0,
02/01/2011,00:00,124,95,169,79,0,68,6,21.0,
03/01/2011,00:00,242,150,329,115,0,205,3,30.0,
04/01/2011,00:00,205,232,441,163,0,250,0,34.0,
05/01/2011,00:00,184,237,415,168,0,250,1,26.0,
06/01/2011,00:00,242,252,429,168,0,261,1,20.0,
07/01/2011,00:00,215,228,390,163,0,222,1,19.0,
08/01/2011,00:00,148,117,145,70,0,82,0,5.0,
09/01/2011,00:00,121,127,144,62,0,102,0,5.0,
10/01/2011,00:00,190,252,441,190,0,215,2,8.0,
11/01/2011,00:00,243,348,488,190,0,259,4,6.0,
12/01/2011,00:00,249,289,466,199,0,237,0,6.0,
13/01/2011,00:00,269,309,489,191,0,266,0,6.0,
14/01/2011,00:00,246,236,464,175,0,229,3,2.0,
15/01/2011,00:00,90,93,139,47,0,53,1,0.0,
16/01/2011,00:00,2,91,101,49,0,61,2,1.0,
17/01/2011,00:00,8,178,322,109,0,179,1,2.0,
18/01/2011,00:00,8,310,368,181,0,208,3,1.0,
19/01/2011,00:00,2,269,395,107,0,178,0,0.0,
20/01/2011,00:00,4,296,409,109,0,211,2,0.0,
21/01/2011,00:00,5,182,312,103,0,145,3,2.0,
22/01/2011,00:00,0,64,102,44,0,50,3,0.0,
23/01/2011,00:00,0,63,76,31,0,35,3,12.0,
24/01/2011,00:00,7,133,261,69,0,138,2,8.0,
25/01/2011,00:00,34,173,325,101,0,162,2,8.0,
26/01/2011,00:00,50,230,336,143,0,151,0,2.0,
27/01/2011,00:00,115,287,423,158,0,210,3,4.0,
28/01/2011,00:00,101,268,431,152,0,217,1,5.0,
29/01/2011,00:00,6,82,99,36,0,51,3,3.0,
30/01/2011,00:00,0,84,103,50,0,47,1,0.0,
31/01/2011,00:00,7,206,361,97,0,181,1,3.0,
01/02/2011,00:00,6,269,398,145,0,182,3,0.0,
02/02/2011,00:00,1,68,89,35,0,59,1,0.0,
03/02/2011,00:00,0,138,276,82,0,108,0,0.0,
04/02/2011,00:00,0,166,356,114,0,119,0,0.0,
05/02/2011,00:00,0,98,178,48,0,69,0,0.0,
06/02/2011,00:00,0,63,76,41,0,55,1,1.0,
07/02/2011,00:00,0,174,350,92,0,175,1,0.0,
08/02/2011,00:00,0,199,284,74,0,118,0,0.0,
09/02/2011,00:00,0,204,320,106,0,107,0,0.0,
10/02/2011,00:00,0,227,374,123,0,142,0,15.0,
11/02/2011,00:00,85,227,366,138,0,155,0,7.0,
12/02/2011,00:00,15,63,74,48,0,44,0,5.0,
13/02/2011,00:00,1,51,93,38,0,45,0,0.0,
14/02/2011,00:00,3,104,241,44,0,89,0,0.0,
15/02/2011,00:00,8,165,317,96,0,129,0,2.0,
16/02/2011,00:00,56,245,354,117,0,123,0,9.0,
17/02/2011,00:00,144,274,437,152,0,192,0,20.0,
18/02/2011,00:00,214,305,518,179,0,229,0,114.0,
19/02/2011,00:00,96,131,139,85,0,48,0,32.0,
20/02/2011,00:00,128,103,146,78,0,55,0,28.0,
21/02/2011,00:00,149,208,301,130,0,148,0,35.0,
22/02/2011,00:00,210,299,358,159,0,183,1,60.0,
23/02/2011,00:00,264,336,388,174,0,192,1,91.0,
24/02/2011,00:00,295,368,455,207,0,205,0,108.0,
25/02/2011,00:00,123,239,274,121,0,107,0,37.0,
26/02/2011,00:00,27,128,131,78,0,49,1,2.0,
27/02/2011,00:00,30,97,117,70,0,41,2,0.0,
28/02/2011,00:00,10,36,184,60,0,77,0,1.0,
01/03/2011,00:00,3,102,333,51,0,158,1,0.0,
02/03/2011,00:00,3,144,378,33,0,165,3,9.0,
03/03/2011,00:00,0,185,373,26,0,178,0,5.0,
04/03/2011,00:00,0,227,417,28,0,200,1,2.0,
05/03/2011,00:00,0,79,100,25,0,58,0,0.0,
06/03/2011,00:00,1,56,26,16,0,32,0,0.0,
07/03/2011,00:00,0,21,51,19,0,30,0,0.0,
08/03/2011,00:00,20,139,307,84,0,115,0,0.0,
09/03/2011,00:00,45,214,397,119,0,155,1,6.0,
10/03/2011,00:00,1,79,99,32,0,41,0,1.0,
11/03/2011,00:00,0,180,309,91,0,82,0,2.0,
12/03/2011,00:00,0,152,243,72,0,88,2,0.0,
13/03/2011,00:00,2,169,231,63,0,84,4,0.0,
14/03/2011,00:00,11,350,661,200,0,247,3,9.0,
15/03/2011,00:00,28,533,868,310,0,370,8,42.0,
16/03/2011,00:00,71,312,551,204,0,245,2,75.0,
17/03/2011,00:00,341,612,1054,377,0,480,20,209.0,
18/03/2011,00:00,470,559,912,349,0,513,4,232.0,
19/03/2011,00:00,480,418,562,220,0,295,0,184.0,
20/03/2011,00:00,570,499,749,289,0,439,0,204.0,
21/03/2011,00:00,243,255,468,159,0,209,0,97.0,
22/03/2011,00:00,321,388,615,233,0,298,0,14.0,
23/03/2011,00:00,523,544,872,316,0,511,0,40.0,
24/03/2011,00:00,432,401,664,253,0,363,0,38.0,
25/03/2011,00:00,551,535,891,338,0,490,0,105.0,
26/03/2011,00:00,470,328,498,222,0,288,0,58.0,
27/03/2011,00:00,357,246,371,158,0,215,0,63.0,
28/03/2011,00:00,527,483,840,309,0,504,0,175.0,
29/03/2011,00:00,820,764,1153,502,0,708,0,300.0,
30/03/2011,00:00,1116,1034,1553,676,0,966,0,497.0,
31/03/2011,00:00,1101,1011,1667,757,0,1021,0,582.0,
01/04/2011,00:00,797,755,1185,534,354,784,840,388.0,
02/04/2011,00:00,1120,909,1164,482,947,645,298,392.0,
03/04/2011,00:00,1425,1099,1213,540,1197,707,471,472.0,
04/04/2011,00:00,679,600,905,398,504,589,55,339.0,
05/04/2011,00:00,831,729,1109,515,710,689,54,423.0,
06/04/2011,00:00,1443,1544,2196,1015,1425,1211,215,820.0,
07/04/2011,00:00,1725,1755,2448,1112,1601,1497,349,964.0,
08/04/2011,00:00,2083,2083,2679,1357,2219,1548,471,997.0,
09/04/2011,00:00,2218,1806,1797,917,2052,1038,802,788.0,
10/04/2011,00:00,1854,1422,1402,676,1806,780,781,673.0,
11/04/2011,00:00,1139,1111,1533,693,1088,985,102,569.0,
12/04/2011,00:00,2453,2882,3346,1846,2943,1948,630,1285.0,
13/04/2011,00:00,1120,1090,1472,706,1191,914,151,552.0,
14/04/2011,00:00,2033,2136,2650,1357,1992,1450,400,988.0,
15/04/2011,00:00,1973,2146,2645,1447,2281,1529,365,847.0,
16/04/2011,00:00,742,609,742,387,676,404,157,273.0,
17/04/2011,00:00,794,658,873,443,659,465,134,289.0,
18/04/2011,00:00,1656,1747,2211,1129,1733,1361,224,696.0,
19/04/2011,00:00,2554,1113,3239,1850,2717,1895,762,1192.0,
20/04/2011,00:00,530,0,678,318,498,398,38,193.0,
21/04/2011,00:00,1582,0,2311,1197,1453,1259,150,680.0,
22/04/2011,00:00,2519,0,2592,1456,2513,1236,1293,869.0,
23/04/2011,00:00,815,0,867,358,610,378,36,223.0,
24/04/2011,00:00,1982,0,1783,819,1949,975,1252,690.0,
25/04/2011,00:00,3092,0,3020,1546,3131,1520,1948,1065.0,
26/04/2011,00:00,1356,0,1976,929,1134,1075,167,560.0,
27/04/2011,00:00,1984,0,3005,1507,2043,1535,339,881.0,
28/04/2011,00:00,1730,0,2635,1275,1489,1302,259,753.0,
29/04/2011,00:00,2583,0,3740,2012,2907,1871,681,1088.0,
30/04/2011,00:00,3942,0,3621,1948,3889,1727,2181,1300.0,
01/05/2011,00:00,4846,0,3964,2267,4905,2101,2912,1415.0,
02/05/2011,00:00,2537,0,3675,2089,2595,1930,489,1050.0,
03/05/2011,00:00,1804,0,2418,1430,1952,1396,375,808.0,
04/05/2011,00:00,1267,0,1791,949,1397,1031,173,551.0,
05/05/2011,00:00,1253,0,1626,873,1155,975,130,551.0,
06/05/2011,00:00,2996,0,4163,2405,3208,2023,794,1280.0,
07/05/2011,00:00,3269,0,3389,1792,3091,1504,1525,1178.0,
08/05/2011,00:00,4059,0,3584,1627,3689,1876,2294,1349.0,
09/05/2011,00:00,4691,0,6121,3508,5334,3222,1523,2171.0,
10/05/2011,00:00,4935,0,6480,3839,5398,3242,1663,2294.0,
11/05/2011,00:00,4742,0,6569,3215,5774,3418,1652,2306.0,
12/05/2011,00:00,5058,0,6680,3918,5568,3524,1988,2294.0,
13/05/2011,00:00,4374,0,5853,3499,5282,2951,1621,1792.0,
14/05/2011,00:00,945,0,900,419,672,449,92,256.0,
15/05/2011,00:00,1033,0,1082,531,832,505,139,370.0,
16/05/2011,00:00,884,0,1034,516,842,607,100,340.0,
17/05/2011,00:00,1983,0,3025,1677,1921,1548,321,969.0,
18/05/2011,00:00,2775,0,4071,2385,2808,2186,816,1277.0,
19/05/2011,00:00,3246,0,4701,2743,3529,2434,903,1490.0,
20/05/2011,00:00,3851,0,5762,3052,4085,2705,1546,1643.0,
21/05/2011,00:00,5090,0,4996,2664,5152,2245,2929,1496.0,
22/05/2011,00:00,3440,0,3503,1758,3410,1764,1840,1072.0,
23/05/2011,00:00,3151,0,3322,1698,3136,1526,1344,1148.0,
24/05/2011,00:00,3843,0,5685,3256,4616,2867,1265,1891.0,
25/05/2011,00:00,5264,0,6958,4080,5514,3554,2194,2586.0,
26/05/2011,00:00,2634,0,4397,2518,3101,2188,516,1324.0,
27/05/2011,00:00,1537,0,2043,1076,1304,1075,159,595.0,
28/05/2011,00:00,1782,0,2074,1155,1723,872,392,605.0,
29/05/2011,00:00,2394,0,2818,1493,2424,1298,793,818.0,
30/05/2011,00:00,5166,4540,7389,4201,6762,3923,2787,2611.0,
31/05/2011,00:00,4958,6857,8197,4920,7349,4111,2973,2714.0,
01/06/2011,00:00,4714,6497,7410,4493,6246,3633,1659,2398.0,
02/06/2011,00:00,3681,4827,5903,3564,4735,2987,866,1969.0,
03/06/2011,00:00,7515,6927,7502,4940,6684,4125,1816,2469.0,
04/06/2011,00:00,5468,5093,5120,3224,5752,2466,2055,1605.0,
05/06/2011,00:00,5821,3495,4933,2545,4816,3531,1347,2150.0,
06/06/2011,00:00,5381,6149,7668,4439,6564,3919,1372,2695.0,
07/06/2011,00:00,5065,6932,8332,5191,6842,4083,1110,2890.0,
08/06/2011,00:00,4557,5783,6950,3934,5415,3510,785,2265.0,
09/06/2011,00:00,4380,5390,6661,3748,5089,3327,661,2083.0,
10/06/2011,00:00,5246,6930,7482,5039,6255,3964,1084,2410.0,
11/06/2011,00:00,3388,3105,3486,2112,3306,1659,744,1272.0,
12/06/2011,00:00,1488,1141,1412,774,1306,749,258,379.0,
13/06/2011,00:00,2426,2682,3863,1968,2700,1982,274,1113.0,
14/06/2011,00:00,5201,6794,7448,4743,6201,4099,1772,2716.0,
15/06/2011,00:00,5520,7275,8044,5092,6959,3627,2396,2776.0,
16/06/2011,00:00,5248,7363,8090,5186,7324,4337,2341,2822.0,
17/06/2011,00:00,5600,7399,7641,5355,6758,3975,2114,2402.0,
18/06/2011,00:00,5613,5839,4851,3566,6133,2506,2947,1546.0,
19/06/2011,00:00,5219,4655,4457,2317,5445,2241,3862,1604.0,
20/06/2011,00:00,6212,6489,7316,4418,6760,3793,2579,2685.0,
21/06/2011,00:00,6393,7173,8219,4840,7361,4125,3049,2853.0,
22/06/2011,00:00,5175,6581,7801,4441,6122,3898,2352,2501.0,
23/06/2011,00:00,2375,2865,3910,2068,2889,2048,507,1146.0,
24/06/2011,00:00,1452,886,1346,681,1040,559,184,413.0,
25/06/2011,00:00,1646,1755,2281,1414,1589,932,412,554.0,
26/06/2011,00:00,3273,3662,3668,2386,3603,1764,1827,1154.0,
27/06/2011,00:00,5742,7060,7507,4750,6815,3972,3430,2550.0,
28/06/2011,00:00,4512,6462,7116,4617,5718,3739,1869,2245.0,
29/06/2011,00:00,3949,4682,5570,3066,3843,2939,863,1727.0,
